intermediateCommunityIds,label,neo4jId
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:407
,30,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:406
,4,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:405
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:404
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:403
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:402
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:401
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:400
,69,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:399
,93,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:398
,35,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:397
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:396
,4,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:395
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:394
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:393
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:392
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:390
,4,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:389
,57,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:429
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:430
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:428
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:427
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:426
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:425
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:424
,0,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:423
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:422
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:421
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:420
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:419
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:418
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:417
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:416
,57,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:415
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:414
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:413
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:411
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:410
,15,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:450
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:451
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:449
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:448
,4,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:447
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:446
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:445
,0,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:444
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:443
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:442
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:441
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:440
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:439
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:438
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:437
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:436
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:435
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:434
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:432
,10,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:431
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:471
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:472
,20,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:470
